inversegaussian,mu=1363.32646109922 lambda=0.101918365352736 
generalized extreme value,k=2.11992852538215 sigma=3.2980052810641 mu=1.54615519456346 
generalized pareto,k=3.02809764917398 sigma=0.0664626786932026 theta=0.0279999999328978 
generalized extreme value,k=3.45248397723402 sigma=24.7987682442144 mu=7.19504059331674 
generalized extreme value,k=1.87110387302981 sigma=0.38096890778117 mu=0.199634595057584 
generalized pareto,k=5.59532304512292 sigma=0.430467922602313 theta=0.00499999988823778 
generalized pareto,k=4.05974572112893 sigma=0.230971524365217 theta=0.0200000000185978 
generalized pareto,k=3.13573091706067 sigma=0.746839394368102 theta=0.00100000016390778 
generalized pareto,k=0.949044501927819 sigma=0.0508355787457194 theta=0.0249999999068978 
